City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
75,Uturoa,-16.7437,-151.4594,25.06,76,32,2.41,PF,2024-11-06
76,Vernon,49.0918,1.4887,10.75,98,9,2.54,FR,2024-11-06
77,Tamanghasset,22.7855,5.5324,16.9,25,0,3.6,DZ,2024-11-06
78,Ilulissat,69.2197,-51.0986,-7.84,67,20,0.0,GL,2024-11-06
79,Rongelap,11.1629,166.8943,28.39,83,100,8.84,MH,2024-11-06
80,El Jadid,31.7007,-5.8107,13.68,46,0,1.08,MA,2024-11-06
81,Crane,31.3957,-102.3521,25.2,22,0,5.01,US,2024-11-06
82,Keflavík,63.9998,-22.5565,2.24,93,100,10.29,IS,2024-11-06
83,Yellowknife,62.4541,-114.3774,-0.99,97,100,4.12,CA,2024-11-06
84,Kamaishi,39.2757,141.8858,4.18,79,40,2.61,JP,2024-11-06
85,Bayt al Hayma,15.4662,44.2266,16.46,46,12,4.59,YE,2024-11-06
86,Urucará,-2.5371,-57.759,35.14,36,84,1.22,BR,2024-11-06
87,Cape Town,-33.929,18.4174,18.36,63,0,7.6,ZA,2024-11-06
88,Salies-de-Béarn,43.4704,-0.9234,15.85,90,0,1.94,FR,2024-11-06
89,Port Alfred,-33.5982,26.8915,14.32,64,71,1.73,ZA,2024-11-06
90,Oranjemund,-28.5519,16.4284,15.69,76,43,6.12,NA,2024-11-06
91,Port Lincoln,-34.7212,135.8592,14.82,72,67,8.31,AU,2024-11-06
92,Gisborne,-38.6613,178.0206,17.78,68,91,2.31,NZ,2024-11-06
93,Goba,7.0073,39.9694,8.4,81,59,1.34,ET,2024-11-06
94,Cuauhtémoc,19.4416,-99.1519,25.06,33,40,3.09,MX,2024-11-06
95,Caleta de Carquín,-11.0918,-77.6283,20.5,79,71,4.36,PE,2024-11-06
96,Gabes,33.8878,10.1004,17.99,88,0,2.57,TN,2024-11-06
97,Sarıkamış,40.3337,42.5895,-3.11,54,66,2.08,TR,2024-11-06
98,Souillac,44.898,1.4694,12.76,92,11,1.34,FR,2024-11-06
99,San Andros,25.0545,-78.0416,27.16,81,73,10.02,BS,2024-11-06
100,Hoxtolgay,46.5174,86.0143,7.68,57,90,1.07,CN,2024-11-06
101,Sittwe Township,20.15,92.9,22.36,87,4,3.3,MM,2024-11-06
102,Stanley,-51.6951,-57.8492,4.84,65,86,12.84,FK,2024-11-06
103,Changzhou,31.8123,119.9692,11.18,66,11,2.43,CN,2024-11-06
